campaign_id,grammar,sqlite_version,run,duration_sec,total_execs,execs_per_sec,total_edges,total_signals,ubsan_crashes,unique_root_causes,asan_count,ubsan_count,queue_size
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,1800,297431,165.2,17525,53,9,2,0,2,155
ebnf_sqlite-3.31.1_run1,ebnf,sqlite-3.31.1,1,1800,302543,168.1,25092,211,211,1,0,1,2216
