campaign_id,grammar,sqlite_version,run,timestamp_sec,total_edges,total_crashes,exec_count
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,51,12316,6,5697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,52,12369,6,5697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,53,12376,6,5697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,54,12379,6,5697
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,55,12379,6,7028
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,56,12379,6,7247
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,57,12391,6,7489
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,58,12392,6,7821
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,59,12395,6,7973
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,60,12395,6,7973
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,61,12395,6,7973
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,62,12395,6,7973
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,63,12397,6,8105
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,64,12397,6,8306
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,65,12402,6,8554
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,66,12402,6,8805
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,67,12403,6,9101
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,68,12411,7,9317
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,69,12422,7,9522
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,70,12422,7,9655
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,71,12422,7,10062
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,72,12422,7,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,73,12422,9,10309
